year,percentile,denial
2007,100,0.2571412782183416
2007,90,0.2602598204154409
2007,10,0.48900337157544715
2007,50,0.32194308092100793
2007,80,0.27464367302645476
2007,30,0.3595405509071599
2007,20,0.3932489041419423
2007,40,0.34158769035045633
2007,60,0.30146402388389326
2007,70,0.28721296277989766
2008,100,0.23201068554218918
2008,60,0.3022891198909673
2008,50,0.32459040858519583
2008,30,0.35990290844629624
2008,40,0.34312686715164215
2008,20,0.39481974459685987
2008,10,0.49881738753782934
2008,70,0.2858271615788424
2008,80,0.267710677962694
2008,90,0.24725791648745407
2009,60,0.21546573316553919
2009,90,0.17874203153184604
2009,30,0.2708133711121431
2009,10,0.43293354485513136
2009,20,0.3076376371221095
2009,50,0.23503100619488768
2009,100,0.17871733560247005
2009,70,0.20434439248604666
2009,40,0.2544235872800888
2009,80,0.1903793923506719
2010,30,0.2673549855259214
2010,20,0.3072595920564151
2010,10,0.4353851803107038
2010,40,0.24667555313093467
2010,70,0.18929566690847172
2010,50,0.22423326389140374
2010,100,0.17259398960473288
2010,60,0.20330365487726892
2010,90,0.16424462121665753
2010,80,0.1786087086535542
2011,60,0.2115090149044473
2011,100,0.1702823411440114
2011,10,0.43841053431602367
2011,80,0.18387574455376549
2011,50,0.23237836508169413
2011,30,0.27669945006967395
2011,20,0.31591836358036585
2011,90,0.16759551562247046
2011,70,0.19601206827241968
2011,40,0.25556330893722773
2012,80,0.16464315610222613
2012,40,0.23369048350877447
2012,100,0.1531466364295949
2012,70,0.1755849030595745
2012,10,0.41490538979271063
2012,20,0.2954248591998402
2012,50,0.21032699148255718
2012,30,0.2556447993562066
2012,60,0.1900347778340866
2012,90,0.15008166318901747
2013,20,0.3011441494854468
2013,90,0.15684830695111823
2013,50,0.21835002178660698
2013,70,0.18388727238072017
2013,80,0.17129112143844052
2013,10,0.4200593588056702
2013,100,0.1545480871061689
2013,40,0.24026685338549805
2013,30,0.2618995923505987
2013,60,0.1976672089997551
2014,50,0.23850822263244895
2014,30,0.2800117382589726
2014,20,0.32263577837352503
2014,70,0.2034869003532836
2014,10,0.4528339135768101
2014,90,0.17148501301153307
2014,40,0.26113643463237685
2014,80,0.18640427906953488
2014,60,0.2166640293608702
2014,100,0.16211380732323885
2015,100,0.14996433292594719
2015,90,0.1577805991215654
2015,30,0.26809400339477946
2015,20,0.3125488276540543
2015,80,0.1730950294816258
2015,60,0.20248560333284057
2015,10,0.45966492261134306
2015,50,0.2236874362235544
2015,70,0.1903857644064678
2015,40,0.24672658238712722
2016,60,0.20955738162400253
2016,10,0.5018748910407785
2016,90,0.16213627464218203
2016,20,0.3287569833490467
2016,80,0.17935131621482914
2016,40,0.2623433066017886
2016,70,0.19889024838317287
2016,50,0.23595328718767436
2016,100,0.15633620523948452
2016,30,0.2803206124482579
2017,20,0.298943024956011
2017,40,0.22256388740138788
2017,10,0.4553299586508687
2017,60,0.1803104392339344
2017,70,0.16950655825861888
2017,100,0.13670931692149113
2017,90,0.14253335566348463
2017,80,0.15500423079230638
2017,30,0.24565713632091188
2017,50,0.20169313063295105
