Year,State,DenialRate
2010,VA,0.18906489674651056
2011,IA,0.1701763610276884
2015,NV,0.21687219168968
2011,NJ,0.2509876519024951
2011,MO,0.20718151270977236
2016,MI,0.21976288621772594
2008,PA,0.33368841351623585
2015,PR,0.34549873158668915
2015,SD,0.16066204464393058
2017,OK,0.22341966781010777
2017,SD,0.13909679589605584
2011,TN,0.25580856476676433
2016,VA,0.22080065547293373
2017,CO,0.16278906978200722
2017,PR,0.3881336405529954
2012,LA,0.26091383877255236
2013,CT,0.20429690414024618
2013,MN,0.15981993070366968
2013,OH,0.2524268761073792
2010,WY,0.21933515187942115
2010,IA,0.16488437270037107
2011,NE,0.16622067334619453
2017,VT,0.18175956860676395
2009,IN,0.22904753057109628
2009,ND,0.14202786377708979
2010,PA,0.2361335208348753
2014,MD,0.1671499006549415
2014,MD,0.2082370544803395
2015,OH,0.24403522233183528
2016,UT,0.1625067199139851
2010,OH,0.2577486499849729
2015,ID,0.19556700877362848
2013,PR,0.32228076598589644
2009,AK,0.19678158148505304
2014,HI,0.19711358453316996
2013,NV,0.1901014740733285
2016,FL,0.284139906669766
2017,RI,0.17834089601840608
2009,CO,0.1787985843068361
2010,LA,0.27392773553810573
2015,OK,0.2398449123123394
2017,NY,0.21305494436902142
2010,CT,0.21631537197574932
2010,KY,0.2579329359259236
2011,IL,0.22164395309213913
2013,IN,0.23030305395343756
2014,PA,0.25643625393904684
2013,NH,0.2168775343276309
2017,MS,0.27610517039550697
2008,MT,0.2591482770004317
2011,NM,0.27504877034762865
2008,NY,0.358247101227156
2012,NY,0.2605714340059583
2016,NM,0.30995231021812214
2016,OK,0.2608419890776999
2011,OK,0.24118206198866143
2012,TX,0.22463136620760008
2010,NY,0.27922910427231534
2014,DE,0.261308707885434
2013,AZ,0.18851820502530864
2011,MD,0.15987424832766856
2011,MD,0.1474521257261649
2015,VA,0.21393833205063126
2015,MS,0.2898174557900742
2008,OR,0.3127595060375178
2014,AK,0.1916785019199411
2016,MS,0.3105857939345451
2012,NH,0.20162835249042146
2016,HI,0.2124333187077108
2014,WY,0.1944008078994614
2009,AR,0.2264739122245244
2010,CO,0.1865249888360993
2013,AR,0.24352983967991942
2007,OR,0.2683508064516129
2016,SD,0.17461603624175906
2017,ND,0.13008172673931265
2012,OK,0.22529981833578205
2011,LA,0.2936940187188222
2016,SC,0.26388778236322014
2008,MI,0.35216031861353697
2008,OH,0.35173730563669053
2011,MI,0.24696437244650152
2010,IN,0.2427873053420067
2013,MT,0.18409618328148916
2009,ME,0.23683475128857978
2014,CO,0.18708374004040587
2016,RI,0.22408612919379067
2014,ID,0.22500659953991778
2016,CT,0.2529722713420369
2015,WY,0.1874296819065153
2010,OR,0.21651975345090407
2014,FL,0.2922269862618344
2017,NE,0.14921284221192277
2014,AR,0.2759783487836745
2009,SC,0.256831905048451
2011,HI,0.18305399355789703
2016,TX,0.25110239909603277
2010,UT,0.19046765812578392
2014,WA,0.21227671524050498
2015,VT,0.20965102159336887
2017,AL,0.2648537964889814
2017,TN,0.2156518874937128
2011,AR,0.24009215568994927
2017,ID,0.15943479711595654
2016,CA,0.21703681520295381
2011,KY,0.2712823891675295
2009,NC,0.22058490847568576
2012,CT,0.19353427448317292
2015,NC,0.23970640331632495
2012,PA,0.22583219156754064
2013,WI,0.17846505162827642
2015,GA,0.25673284603838975
2009,AZ,0.2443920099425422
2013,NY,0.2504516711833785
2012,DE,0.22170511712430468
2013,GA,0.24347997296736396
2014,WI,0.19745834718681887
2016,KY,0.2209045255559948
2016,OR,0.1961412252906485
2008,LA,0.3352991331533324
2017,NJ,0.21586807306857306
2008,KS,0.26748576182248673
2014,VA,0.2310083758437982
2015,MT,0.18064120263844147
2012,KS,0.16968799985291685
2014,GA,0.27501569829719646
2014,MI,0.23559586342744582
2015,MD,0.11813842760072957
2015,MD,0.08783045612204252
2012,AK,0.16432099916115203
2012,IL,0.1980511788230474
2007,NJ,0.3080727461622125
2015,CT,0.2330240094270143
2016,NV,0.23834292869792015
2009,DE,0.2540309996879226
2012,MD,0.0845466069362739
2012,MD,0.09029247790877988
2012,MS,0.25875188519720305
2015,IN,0.22095798779164663
2015,MI,0.21973645455826044
2016,NH,0.22443972179289026
2010,MN,0.18755989458552946
2012,AL,0.2615575011805831
2015,SC,0.2613870060965964
2012,PR,0.30569352985907744
2013,NM,0.2716856966820917
2014,MO,0.21519901710800082
2009,NJ,0.25134811710494953
2011,RI,0.21337216284376126
2013,SC,0.26216149821504175
2013,AL,0.2730068824354399
2014,CT,0.24555034844474663
2015,ND,0.14487847222222222
2010,DE,0.24505122977262755
2012,OH,0.25110393489604005
2016,OH,0.24070890455959004
2016,PA,0.2484902082012673
2011,CO,0.1949966486121924
2013,IA,0.15633703321776268
2017,HI,0.16537017570205736
2007,MS,0.31221335553118773
2012,NC,0.2349753527441581
2014,NC,0.2597079904433236
2017,GA,0.2324443160186959
2012,NE,0.1523860846655889
2014,IA,0.17411917411917413
2010,SC,0.2732560693242641
2016,AK,0.20671879027407852
2014,MS,0.291998483124763
2012,WI,0.15533965144383666
2017,CA,0.19550745230825045
2016,MD,0.1206337167656849
2016,MD,0.10050502314438606
2013,MD,0.08926349279657211
2013,MD,0.10192378533216774
2015,IL,0.20473346262501232
2009,MN,0.1859082506754186
2009,MS,0.2573856391243316
2014,LA,0.2818439334715387
2014,SC,0.27668454730337794
2014,NV,0.21928876109454273
2016,MN,0.16948831589246022
2010,KS,0.19052690691504812
2011,SD,0.17033778907941308
2017,ME,0.2084979535830041
2014,RI,0.23031336255885695
2017,OR,0.168440183499875
2009,OH,0.24318819294262428
2016,KS,0.19576143499730553
2017,FL,0.25030723511556235
2016,ID,0.20062048879321262
2014,AZ,0.2174215159603782
2011,MN,0.18519198879941218
2016,NC,0.24637348140378573
2013,UT,0.17247720720018703
2015,DE,0.23838859696804976
2013,HI,0.17842271818787475
2010,ID,0.22620391271632806
2015,UT,0.16255712615580828
2010,GA,0.25463335752322064
2014,AL,0.29270381829325026
2009,PR,0.3552698704213856
2011,VA,0.20079466087226447
2012,TN,0.23537932841226056
2014,MT,0.1861479797609445
2012,ID,0.20779928389808522
2012,OR,0.1893830927921243
2013,ID,0.214892921366683
2013,NE,0.16611445570798145
2013,NJ,0.23879303138477542
2007,PA,0.3330048655952743
2016,IL,0.2148719978573477
2009,GA,0.25663252389290914
2017,UT,0.1448141644050144
2017,WY,0.17600730510215729
2008,NH,0.32263389252713737
2015,RI,0.2088340679202207
2010,MT,0.20302393272962485
2015,WI,0.18240688002545116
2016,AL,0.29108321407652965
2008,WY,0.28330249768732657
2009,IA,0.17346168237014864
2012,KY,0.2497357205648347
2011,NY,0.2810968271334792
2013,OK,0.2329050596930074
2015,NE,0.16192330736968244
2007,PR,0.35525379690061554
2017,MN,0.14844984673476097
2015,OR,0.1806055235172742
2013,OR,0.19098938497690623
2015,PA,0.24280438857709
2016,CO,0.18249989555917617
2012,ND,0.12636376191133822
2011,VT,0.20217652170314893
2010,FL,0.2993375019736515
2015,CA,0.20418645643873604
2009,WA,0.20040519580253524
2017,WI,0.1604107551550211
2011,TX,0.2458390788445155
2007,MD,0.31209721883275937
2014,NE,0.1806633733239238
2015,AK,0.17462110514920456
2011,IN,0.24571109420420512
2016,ND,0.16946363935505102
2010,OK,0.2352922096351738
2013,RI,0.19613984162147022
2015,HI,0.1764802541490935
2017,LA,0.2628146000790618
2017,NH,0.19576684397163122
2008,MD,0.18645878878191113
2012,AZ,0.1772093899071052
2008,VA,0.3008632264476091
2014,VT,0.23414313068453807
2008,NJ,0.3102687010345693
2017,AK,0.1711566291884671
2013,MI,0.20994173631066937
2012,NJ,0.2364493779176612
2007,DE,0.33269043945368304
2007,MO,0.311826061008857
2009,IL,0.1989837982283615
2012,WA,0.18229894022354906
2013,NC,0.23785467025651646
2017,MO,0.18467864774237996
2009,NM,0.26282129668125903
2010,WI,0.17510199052651754
2011,AZ,0.21121075113031748
2015,MO,0.18983754106004327
2016,NE,0.17474127667368808
2010,AK,0.1860055096418733
2014,UT,0.1818643843831634
2014,ND,0.1360107998650017
2017,AZ,0.1776398702248285
2009,NV,0.26064581910524137
2014,IN,0.24318618147210205
2017,DE,0.2206097088535924
2016,TN,0.2488859090580612
2012,SC,0.26223374812931793
2013,VA,0.19386026673197213
2010,TX,0.25003631134280063
2009,VA,0.19963053976822104
2016,ME,0.25495106325257205
2017,PA,0.2194978997753248
2010,AL,0.2853985851677181
2016,VT,0.2116355437925795
2010,NE,0.16217933444523866
2014,IL,0.2222081431336461
2015,AL,0.28597568413776275
2015,AZ,0.20229411651494447
2017,AR,0.24214721577987436
2017,TX,0.21907319679243079
2016,MT,0.19870477263128256
2011,ID,0.22834252303593236
2012,SD,0.1541925507961913
2016,NJ,0.24381412858935558
2012,RI,0.19064109194756132
2016,PR,0.3637167339166704
2008,AL,0.33005894897794946
2011,CA,0.19891425788523792
2012,GA,0.23746893283317125
2012,FL,0.2527935366976565
2012,VT,0.17564809144723412
2014,ME,0.259429181114964
2010,RI,0.2251984126984127
2010,WA,0.1967545202481295
2011,SC,0.2827701656220548
2012,HI,0.1682757826445805
2014,KY,0.2672627788266555
2015,FL,0.27795619015896855
2017,IL,0.1977910773209926
2012,NV,0.204459972394755
2015,NJ,0.24400090647373324
2012,IA,0.14821102303298853
2012,MI,0.20520578933339098
2013,DE,0.22008731529456918
2015,NH,0.22216286006856328
2017,NV,0.187380060698797
2010,PR,0.34078837014257757
2013,KS,0.18020819390245157
2015,LA,0.2678086981916553
2013,KY,0.2575833526916164
2017,CT,0.21025812194036494
2008,ND,0.17085086171800787
2015,NM,0.28969654199011996
2017,VA,0.19706209934007887
2013,VT,0.18856518856518856
2016,IA,0.17444502254595906
2012,NM,0.2585038314660732
2015,TN,0.23806633565769778
2009,CT,0.2239129070715944
2008,SD,0.19189129820817774
2011,PR,0.3439206198711871
2012,ME,0.2245253083576437
2015,TX,0.24138151640272434
2017,OH,0.20875318382307262
2009,NE,0.16968387563954937
2012,MO,0.18623712733059117
2013,MO,0.19972023754680157
2014,MN,0.1783013656882726
2007,VA,0.2969506256366029
2016,MO,0.19684754474018684
2017,MI,0.2042292344027013
2015,WA,0.18305123301888804
2007,WY,0.2756225545209136
2008,GA,0.3271502907866544
2017,KY,0.22984479499277194
2007,KY,0.3361727733431115
2016,AR,0.26001432121646095
2008,KY,0.3269217884921094
2011,CT,0.21742536052043568
2014,PR,0.32828449127428383
2017,NM,0.27028997393697485
2007,KS,0.2991905865573186
2011,OH,0.28168742915715317
2012,UT,0.15801024607159492
2011,FL,0.2830705962988348
2016,NY,0.2464794227206917
2017,SC,0.24252422584205385
2014,NJ,0.2673319674839733
2015,IA,0.1683410858624371
2015,MN,0.16405946220799808
2017,VI,0.08
2010,MD,0.1745438353387631
2010,MD,0.17562713294985927
2009,LA,0.2745586166060753
2009,RI,0.22185815908600992
2015,CO,0.17599384225301096
2016,GA,0.26543443959744895
2015,NY,0.24756860857005297
2016,WI,0.18395485998235267
2009,MD,0.11425234265084548
2017,MT,0.16740565887269132
2008,UT,0.27300776814866606
2009,HI,0.20581368199859912
2013,PA,0.2320416622657737
2007,RI,0.3319154859865124
2010,ME,0.24794490519162618
2016,AZ,0.21891920148778501
2008,CT,0.30465286721646256
2011,WI,0.18104469839551582
2012,VA,0.18132690065311863
2014,OR,0.21240147576723126
2014,TN,0.2586355337952782
2012,CO,0.16631801354509895
2013,MS,0.2690768609813758
2016,WA,0.18903896654458954
2014,CA,0.21841750132609442
2017,MD,0.10645946357045075
2017,MD,0.0810069462049384
2009,FL,0.325033950294869
2015,ME,0.25107470385938097
2013,WA,0.18736409355548034
2015,AR,0.26110695412243373
2008,HI,0.27257847807499697
2013,LA,0.27855177865612646
2015,KS,0.17886599844657322
2017,IN,0.19317953285258713
